19,259
26,334
28,412
29,827
31,229
31,303
41,86
44,269
47,149
47,463
60,635
61,182
65,975
66,323
72,508
73,126
80,262
83,25
86,113
88,70
91,711
100,428
114,154
118,551
118,1078
126,924
131,69
134,326
137,256
138,498
143,689
152,476
157,160
164,35
165,703
167,548
170,431
180,183
181,59
186,366
198,821
215,1025
225,650
232,214
235,628
240,259
243,11
247,193
249,958
255,461
265,677
283,24
291,231
298,794
298,915
304,440
305,152
316,376
316,483
329,391
343,526
350,365
352,478
354,193
362,554
376,403
377,204
380,383
388,72
392,284
400,487
410,1271
420,299
423,353
433,379
434,69
446,324
462,151
475,564
487,228
693,1146
819,492
838,578
