38,210
42,150
80,24
98,877
107,109
120,252
128,377
133,875
143,660
147,283
155,809
162,531
165,545
177,740
210,904
222,230
235,389
243,311
249,377
260,572
262,800
272,364
274,1279
293,206
293,1211
304,783
334,885
341,205
348,746
355,423
366,335
374,524
393,331
403,829
409,562
415,284
445,1094
448,407
451,316
453,233
454,958
461,800
466,1149
468,582
478,156
482,967
493,757
497,617
515,424
516,843
562,1052
576,230
582,1001
584,638
608,1076
671,982
712,1169
725,1046
743,694
797,1176
815,1195
870,879
873,240
933,385
941,213
945,407
946,168
