45,901
115,1073
145,863
245,1104
261,72
293,615
297,122
313,57
343,700
352,584
364,50
369,840
373,1037
374,1017
384,896
386,784
397,597
405,500
408,438
436,612
453,927
464,700
465,377
474,1105
493,285
514,598
518,708
522,836
528,772
548,919
563,331
578,593
587,537
614,247
615,730
628,468
644,59
654,516
655,441
674,791
675,588
675,1110
689,327
695,1004
719,535
719,1080
736,243
741,463
753,434
761,801
763,71
763,686
767,538
784,644
790,354
793,887
799,132
803,594
813,191
822,95
831,748
832,485
835,264
848,724
856,1095
857,437
866,228
886,275
894,382
899,450
905,681
921,289
922,921
924,647
929,530
945,612
947,1200
