7,141
20,397
24,463
24,488
25,374
35,473
38,564
62,774
67,564
78,455
82,629
90,319
97,372
98,207
107,644
112,275
114,299
116,472
125,587
136,467
143,242
146,329
155,481
166,524
167,369
171,412
173,603
179,430
190,593
192,326
198,669
199,357
206,704
209,490
213,292
218,416
222,195
227,312
234,573
240,250
242,405
245,684
250,666
257,696
288,436
291,361
307,388
318,513
319,589
341,417
342,702
354,295
355,210
359,581
365,256
365,572
399,323
400,634
426,368
451,292
452,462
453,395
454,156
486,617
487,668
495,287
496,504
497,241
498,572
502,208
523,392
536,355
543,198
547,407
548,490
549,574
550,446
556,250
557,524
558,471
566,401
568,418
570,462
580,479
587,489
590,334
590,508
606,403
606,569
615,316
620,513
634,235
636,277
640,542
648,409
650,456
671,296
672,544
681,159
689,242
700,460
702,378
704,317
722,7
740,528
770,435
