9,597
10,554
32,434
56,374
64,520
69,1215
76,712
78,531
88,216
89,502
111,374
112,80
114,740
123,1276
141,180
176,452
189,874
198,525
210,389
231,172
231,247
231,639
243,710
244,227
253,281
270,207
282,467
283,179
284,547
295,501
305,719
308,617
313,68
318,321
318,360
321,179
322,249
325,409
334,284
360,106
360,141
374,1198
376,954
384,98
388,415
394,262
394,857
399,395
408,568
416,364
429,468
446,810
447,1075
451,563
459,304
500,480
503,946
507,423
508,770
539,792
547,496
553,122
556,629
568,674
598,393
598,532
611,17
618,1108
623,782
654,538
668,353
701,1192
704,385
707,982
716,617
728,392
760,495
766,1125
769,333
820,913
834,245
840,369
849,541
866,170
878,505
895,1000
907,176
912,272
937,766
939,221
